City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,olinda,-8.0089,-34.8553,80.33,78,20,4.61,BR,1682647885
151,geraldton,-28.7667,114.6,66.61,52,0,18.41,AU,1682647885
152,puerto deseado,-47.7503,-65.8938,51.8,59,100,11.92,AR,1682647885
153,ulladulla,-35.35,150.4667,79.77,42,63,5.86,AU,1682647885
154,nahiyat ash shinafiyah,31.5874,44.6602,79.95,15,0,7.74,IQ,1682647886
155,nyurba,63.2842,118.3319,34.29,98,93,4.36,RU,1682647886
156,galle,6.0367,80.217,80.31,82,68,9.62,LK,1682647886
157,son la,21.3167,103.9,83.8,55,36,2.15,VN,1682647886
158,maryville,35.7565,-83.9705,60.03,97,100,3.44,US,1682647886
159,cidade velha,14.9167,-23.6167,72.07,73,20,16.11,CV,1682647887
160,tibu,8.639,-72.7358,74.91,96,100,2.68,CO,1682647887
161,severnoye,56.3491,78.3619,58.91,50,90,12.15,RU,1682647887
162,stavern,59.0,10.0333,36.09,68,1,7.14,NO,1682647887
163,san antonio de pale,-1.4014,5.6325,81.93,76,100,6.17,GQ,1682647887
164,hobyo,5.3505,48.5268,82.6,77,100,9.8,SO,1682647887
165,ulsteinvik,62.3432,5.8487,35.76,82,10,4.0,NO,1682647887
166,huarmey,-10.0681,-78.1522,75.52,83,86,8.55,PE,1682647888
167,heroica guaymas,27.9333,-110.9,81.88,61,0,13.8,MX,1682647888
168,buka,40.8108,69.1986,68.34,40,0,2.68,UZ,1682647888
169,manicore,-5.8092,-61.3003,74.59,92,100,1.43,BR,1682647888
170,siocon,7.7061,122.1353,87.22,66,96,1.48,PH,1682647888
171,egilsstadir,65.2653,-14.3948,27.23,64,76,5.19,IS,1682647888
172,klyuchi,52.2667,79.1667,63.37,45,98,10.76,RU,1682647888
173,tubarjal,30.4999,38.216,68.31,30,81,6.53,SA,1682647819
174,bonthe,7.5264,-12.505,80.19,77,21,4.12,SL,1682647889
175,chengzhong,30.95,113.55,67.68,74,100,3.74,CN,1682647889
176,thai binh,20.45,106.3333,79.59,82,100,12.21,VN,1682647889
177,el viejo,12.6633,-87.1672,81.1,63,80,3.38,NI,1682647685
178,weno,7.4515,151.8468,80.55,100,100,6.91,FM,1682647889
179,madison,34.7334,-86.5667,62.4,93,75,10.0,US,1682647890
180,codrington,-38.2667,141.9667,59.56,52,91,16.35,AU,1682647890
181,alice springs,-23.7,133.8833,72.95,40,40,9.22,AU,1682647890
182,dubbo,-32.25,148.6167,77.13,44,0,18.41,AU,1682647890
183,lebu,-37.6167,-73.65,58.39,91,100,12.44,CL,1682647890
184,papao,-17.75,-149.55,86.67,72,29,5.3,PF,1682647891
185,rancheria payau,7.8541,123.1598,85.96,64,84,2.37,PH,1682647891
186,boende,-0.2167,20.8667,72.55,87,99,2.82,CD,1682647891
187,mwene-ditu,-7.0,23.45,62.76,87,99,4.45,CD,1682647891
188,mejit,10.2753,170.8646,80.96,81,34,18.12,MH,1682647892
189,saint-pierre,-21.3393,55.4781,71.28,83,100,10.36,RE,1682647892
190,nar'yan-mar,67.6713,53.087,23.77,95,100,8.75,RU,1682647892
191,port elizabeth,-33.918,25.5701,63.32,95,99,1.99,ZA,1682647858
192,bilibino,68.0546,166.4372,25.7,64,6,1.9,RU,1682647892
193,rampachodavaram,17.45,81.7667,78.71,62,0,0.96,IN,1682647892
194,filadelfia,39.9523,-75.1638,55.06,80,100,10.36,US,1682647683
195,tual,-5.6667,132.75,82.31,78,98,16.04,ID,1682647893
196,viqueque,-8.8673,126.3658,82.71,80,65,6.22,TL,1682647893
197,nyrob,60.733,56.7202,28.62,75,99,9.37,RU,1682647893
198,rovinj,45.08,13.64,49.28,66,46,4.88,HR,1682647893
199,ola,59.5833,151.2833,36.63,76,8,6.62,RU,1682647893
200,coquimbo,-29.9533,-71.3436,58.73,82,100,6.91,CL,1682647893
201,merizo village,13.2658,144.6691,88.36,84,4,20.22,GU,1682647893
202,zouerate,22.7187,-12.4521,82.83,23,3,9.04,MR,1682647893
203,hillvue,-31.1244,150.915,73.31,53,3,6.91,AU,1682647894
204,ndjole,-0.1783,10.7649,73.15,99,95,1.52,GA,1682647894
